provider_name_scraped,model_name_scraped,context_window,intelligence_index,response_time_s,tokens_per_s,source_url,last_updated_utc,is_free_source
SambaNova,DeepSeek V3 0324 (Mar '25),33000,53.0,4.77,166.4,,2025-06-24 16:33:06,true
Deepinfra,Gemma 3 4B,128000,24.0,4.87,107.4,,2025-06-24 16:33:06,true
Amazon Bedrock,Command-R,128000,15.0,4.9,109.6,,2025-06-24 16:33:06,true
Amazon Bedrock,Command-R (Mar '24),128000,15.0,4.92,109.2,,2025-06-24 16:33:06,true
Together.ai Turbo,Llama 3.2 11B (Vision) Turbo,128000,N/A,4.95,105.9,,2025-06-24 16:33:06,true
GMI (FP8),Llama 4 Maverick (FP8),1000000,51.0,5.11,108.5,,2025-06-24 16:33:06,true
Microsoft Azure,GPT-4o (Nov '24),128000,41.0,5.14,118.8,,2025-06-24 16:33:06,true
Amazon Bedrock,Llama 3 8B,8000,21.0,5.14,103.8,,2025-06-24 16:33:06,true
Novita,Mistral 7B,32000,10.0,5.14,115.6,,2025-06-24 16:33:06,true
Mistral,Mistral 7B,8000,10.0,5.18,101.9,,2025-06-24 16:33:06,true
Together.ai,DeepSeek V3 0324 (Mar '25),128000,53.0,5.19,107.4,,2025-06-24 16:33:06,true
Mistral,Mistral Small (Sep '24),33000,27.0,5.22,101.6,,2025-06-24 16:33:06,true
Together.ai Turbo,Llama 3.3 70B Turbo,128000,41.0,5.27,102.8,,2025-06-24 16:33:06,true
OpenAI,GPT-4.1,1000000,53.0,5.27,104.0,,2025-06-24 16:33:06,true
Deepinfra,Mistral 7B,8000,10.0,5.37,96.8,,2025-06-24 16:33:06,true
Together.ai,Mistral Small 3,32000,35.0,5.4,95.8,,2025-06-24 16:33:06,true
Together.ai,DeepSeek V3 (Dec '24),128000,46.0,5.43,104.2,,2025-06-24 16:33:06,true
Novita (FP8),Llama 4 Maverick (FP8),1000000,51.0,5.51,104.9,,2025-06-24 16:33:06,true
Together.ai Turbo,Llama 3.1 405B Turbo,128000,40.0,5.52,97.8,,2025-06-24 16:33:06,true
Amazon Bedrock,Claude 3 Haiku,200000,N/A,5.55,110.9,,2025-06-24 16:33:06,true
Deepinfra,Mixtral 8x7B,33000,17.0,5.65,96.9,,2025-06-24 16:33:06,true
Alibaba Cloud,Qwen3 4B,131000,35.0,5.68,106.4,,2025-06-24 16:33:06,true
kluster.ai,Llama 4 Scout,128000,43.0,5.71,95.4,,2025-06-24 16:33:06,true
Fireworks,Llama 3.1 405B,128000,40.0,5.74,94.6,,2025-06-24 16:33:06,true
Alibaba Cloud,Qwen2.5 Turbo,1000000,34.0,5.74,106.1,,2025-06-24 16:33:06,true
Amazon Bedrock Latency Optimized,Claude 3.5 Haiku Latency Optimized,200000,35.0,5.75,94.9,,2025-06-24 16:33:06,true
Amazon Bedrock,Mistral 7B,8000,10.0,5.76,91.7,,2025-06-24 16:33:06,true
Replicate,DeepSeek V3 0324 (Mar '25),128000,53.0,5.76,98.8,,2025-06-24 16:33:06,true
Google (AI Studio),Gemini 1.5 Pro (Sep) (AI Studio),2000000,45.0,5.83,92.4,,2025-06-24 16:33:06,true
Google (Vertex),Gemini 1.5 Pro (Sep) (Vertex),2000000,45.0,5.92,91.7,,2025-06-24 16:33:06,true
Nebius Fast,DeepSeek V3 0324 (Mar '25) Fast,128000,53.0,5.94,94.3,,2025-06-24 16:33:06,true
Together.ai,Gemma 2 27B,8000,N/A,5.96,87.7,,2025-06-24 16:33:06,true
Groq,DeepSeek R1 Distill Llama 70B,128000,48.0,5.96,431.9,,2025-06-24 16:33:06,true
"Together.ai (Reference, FP16)","Llama 3 70B (Reference, FP16)",8000,27.0,5.99,90.8,,2025-06-24 16:33:06,true
Google Vertex,Llama 3.3 70B Vertex,128000,41.0,6.01,85.7,,2025-06-24 16:33:06,true
Alibaba Cloud,Qwen3 8B,131000,37.0,6.04,100.0,,2025-06-24 16:33:06,true
Microsoft Azure,Mistral Small (Feb '24),33000,23.0,6.06,88.1,,2025-06-24 16:33:06,true
xAI,Grok 3,131000,51.0,6.06,88.8,,2025-06-24 16:33:06,true
Amazon Bedrock Latency Optimized,Llama 3.1 405B Latency Optimized,128000,40.0,6.11,88.3,,2025-06-24 16:33:06,true
Mistral,Mistral Saba,32000,N/A,6.11,85.9,,2025-06-24 16:33:06,true
Mistral,Mistral Large 2 (Jul '24),128000,37.0,6.16,86.9,,2025-06-24 16:33:06,true
Together.ai,Qwen2.5 Coder 32B,131000,36.0,6.19,85.6,,2025-06-24 16:33:06,true
Deepinfra,Mistral Small 3,32000,35.0,6.32,81.8,,2025-06-24 16:33:06,true
Amazon Bedrock,Mixtral 8x7B,33000,17.0,6.32,83.5,,2025-06-24 16:33:06,true
Novita,Llama 3.3 70B,128000,41.0,6.35,90.6,,2025-06-24 16:33:06,true
Hyperbolic,Llama 3.1 405B,128000,40.0,6.35,93.7,,2025-06-24 16:33:06,true
Nebius Fast,Qwen2.5 Instruct 32B Fast,128000,37.0,6.41,84.8,,2025-06-24 16:33:06,true
Alibaba Cloud,Qwen3 30B A3B,131000,43.0,6.42,92.8,,2025-06-24 16:33:06,true
Upstage,Solar Mini,4000,N/A,6.45,92.7,,2025-06-24 16:33:06,true
xAI Fast,Grok 3 Fast,131000,51.0,6.48,84.2,,2025-06-24 16:33:06,true
Microsoft Azure,Jamba 1.5 Mini,256000,18.0,6.54,82.4,,2025-06-24 16:33:06,true
Fireworks,Qwen2.5 72B,131000,40.0,6.62,79.9,,2025-06-24 16:33:06,true
Reka AI,Reka Edge,128000,N/A,6.64,85.4,,2025-06-24 16:33:06,true
Mistral,Pixtral Large,128000,37.0,6.7,79.6,,2025-06-24 16:33:06,true
Together.ai,DeepSeek R1 Distill Qwen 1.5B,128000,19.0,6.71,386.6,,2025-06-24 16:33:06,true
Replicate,Llama 3 8B,8000,21.0,6.72,79.4,,2025-06-24 16:33:06,true
"Together.ai (Turbo, FP8)","Llama 3 70B (Turbo, FP8)",8000,27.0,6.79,79.9,,2025-06-24 16:33:06,true
Mistral,Mistral Medium,33000,23.0,6.85,77.3,,2025-06-24 16:33:06,true
OpenAI,GPT-4o (Aug '24),128000,N/A,6.91,80.6,,2025-06-24 16:33:06,true
Fireworks,Mixtral 8x22B,65000,26.0,6.94,75.1,,2025-06-24 16:33:06,true
Mistral,Mistral Medium 3,128000,49.0,7.09,74.3,,2025-06-24 16:33:06,true
Google Vertex,Llama 3.1 70B Vertex,128000,35.0,7.12,72.9,,2025-06-24 16:33:06,true
Microsoft Azure,Llama 3 8B,8000,21.0,7.15,73.7,,2025-06-24 16:33:06,true
Amazon Bedrock,Nova Premier,1000000,43.0,7.16,78.5,,2025-06-24 16:33:06,true
OpenAI,GPT-4o (May '24),128000,41.0,7.16,75.7,,2025-06-24 16:33:06,true
Google Vertex,Claude 3.5 Sonnet (June) Vertex,200000,N/A,7.17,78.9,,2025-06-24 16:33:06,true
Hyperbolic,Pixtral 12B,128000,23.0,7.18,75.8,,2025-06-24 16:33:06,true
Parasail,Gemma 3 27B,131000,38.0,7.19,74.7,,2025-06-24 16:33:06,true
Mistral,Pixtral 12B,128000,23.0,7.2,73.2,,2025-06-24 16:33:06,true
OpenAI,GPT-4.5 (Preview),128000,N/A,7.21,80.0,,2025-06-24 16:33:06,true
Google Vertex,Claude 3.5 Sonnet (Oct) Vertex,200000,44.0,7.25,78.6,,2025-06-24 16:33:06,true
Google Vertex,Claude 3.7 Sonnet Vertex,200000,48.0,7.3,78.3,,2025-06-24 16:33:06,true
Groq,QwQ-32B,131000,58.0,7.33,422.1,,2025-06-24 16:33:06,true
Novita,Llama 4 Scout,131000,43.0,7.4,76.0,,2025-06-24 16:33:06,true
Microsoft Azure,DeepSeek V3 (Dec '24),128000,46.0,7.44,71.6,,2025-06-24 16:33:06,true
